Phrase,Measure,Pitch,Duration
2057,14,72,1.5
2057,14,74,0.25
2057,14,72,0.25
2057,14,71,0.25
2057,14,72,0.25
2057,14,69,0.25
2057,14,71,0.25
2057,14,72,0.5
2057,14,74,0.5
2057,15,76,0.5
2057,15,77,0.5
2057,15,79,1.0
2057,15,67,0.5
2057,15,69,0.5
2057,15,71,0.5
2057,15,72,0.5
2057,16,74,1.5
2057,16,72,0.25
2057,16,71,0.25
2057,16,72,0.25
2057,16,76,0.25
2057,16,74,0.25
2057,16,72,0.25
2057,16,71,0.5
2057,16,69,0.5
2057,17,67,0.5
2057,17,65,0.5
2057,17,64,0.5
2057,17,62,0.5
2057,17,60,0.5
2057,17,59,0.5
2057,17,57,0.5
2057,17,65,0.5
