Prase,Pitch,Duration
495,64,1.0
495,62,2.0
495,60,1.0
495,60,1.0
495,67,1.0
495,64,0.5
495,62,0.5
495,60,1.0
495,67,1.0
495,69,0.75
495,72,0.25
495,69,1.0
495,67,1.0
495,67,1.0
495,69,1.0
495,71,1.0
495,72,1.0
495,71,1.0
495,69,0.5
495,72,0.5
495,71,0.5
495,69,0.5
495,67,1.0
495,64,1.0
495,69,1.0
495,67,1.0
495,65,1.0
495,64,1.0
495,62,2.0
495,60,1.0
495,67,2.0
495,64,1.0
495,64,1.0
495,67,2.0
495,64,1.0
495,64,1.0
495,64,1.0
495,64,1.0
495,62,1.0
495,62,1.0
495,64,1.0
495,64,1.0
495,62,1.0
495,64,1.0
495,65,1.0
495,64,1.0
495,62,1.0
