Prase,Pitch,Duration
38,76,0.5
38,77,1.0
38,76,0.25
38,74,0.25
38,76,0.5
38,64,0.25
38,64,0.25
38,67,0.25
38,67,0.25
38,72,0.25
38,72,0.25
38,76,0.5
38,77,1.0
38,76,0.25
38,74,0.25
38,76,1.0
38,76,0.5
38,77,1.0
38,76,0.25
38,74,0.25
38,76,0.5
38,64,0.25
38,64,0.25
38,67,0.25
38,67,0.25
38,72,0.25
38,72,0.25
38,76,0.5
38,77,1.0
38,76,0.25
38,74,0.25
38,76,1.0
38,76,0.5
38,77,1.0
38,76,0.25
38,74,0.25
38,76,0.5
38,64,0.25
38,64,0.25
38,67,0.25
38,67,0.25
38,72,0.25
38,72,0.25
38,76,0.5
38,77,1.0
38,76,0.25
38,74,0.25
38,76,1.0
